"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription"
"S3","MEX","223","Mexico","WLD"," World",2007,"Export",6,4968.687,"Oil seeds-not soft oil"
"S3","MEX","223","Mexico","WLD"," World",2007,"Import",5,162151.87,"Oil seeds-not soft oil"
"S3","MEX","231","Mexico","WLD"," World",1993,"Export",6,1771,"Natural rubber/latex/etc"
"S3","MEX","231","Mexico","WLD"," World",1993,"Import",5,60210,"Natural rubber/latex/etc"
"S3","MEX","231","Mexico","WLD"," World",2007,"Export",6,5921.015,"Natural rubber/latex/etc"
"S3","MEX","231","Mexico","WLD"," World",2007,"Import",5,162912.919,"Natural rubber/latex/etc"
"S3","MEX","232","Mexico","WLD"," World",1993,"Export",6,56791,"Rubber synth/waste/etc"
"S3","MEX","232","Mexico","WLD"," World",1993,"Import",5,81308,"Rubber synth/waste/etc"
"S3","MEX","232","Mexico","WLD"," World",2007,"Export",6,314996.741,"Rubber synth/waste/etc"
"S3","MEX","232","Mexico","WLD"," World",2007,"Import",5,235120.551,"Rubber synth/waste/etc"
"S3","MEX","244","Mexico","WLD"," World",1993,"Export",6,1,"Cork natural/raw/waste"
"S3","MEX","244","Mexico","WLD"," World",1993,"Import",5,1009,"Cork natural/raw/waste"
"S3","MEX","244","Mexico","WLD"," World",2007,"Export",6,0.028,"Cork natural/raw/waste"
"S3","MEX","244","Mexico","WLD"," World",2007,"Import",5,425.327,"Cork natural/raw/waste"
"S3","MEX","245","Mexico","WLD"," World",1993,"Export",6,2737,"Fuel wood/wood charcoal"
"S3","MEX","245","Mexico","WLD"," World",1993,"Import",5,446,"Fuel wood/wood charcoal"
"S3","MEX","245","Mexico","WLD"," World",2007,"Export",6,8902.712,"Fuel wood/wood charcoal"
"S3","MEX","245","Mexico","WLD"," World",2007,"Import",5,803.147,"Fuel wood/wood charcoal"
"S3","MEX","246","Mexico","WLD"," World",1993,"Export",6,21018,"Wood chips/waste"
"S3","MEX","246","Mexico","WLD"," World",1993,"Import",5,416,"Wood chips/waste"
"S3","MEX","246","Mexico","WLD"," World",2007,"Export",6,5351.323,"Wood chips/waste"
"S3","MEX","246","Mexico","WLD"," World",2007,"Import",5,1494.039,"Wood chips/waste"
"S3","MEX","247","Mexico","WLD"," World",1993,"Export",6,670,"Wood in rough/squared"
"S3","MEX","247","Mexico","WLD"," World",1993,"Import",5,16408,"Wood in rough/squared"
"S3","MEX","247","Mexico","WLD"," World",2007,"Export",6,933.498,"Wood in rough/squared"
"S3","MEX","247","Mexico","WLD"," World",2007,"Import",5,7223.484,"Wood in rough/squared"
"S3","MEX","248","Mexico","WLD"," World",1993,"Export",6,189600.992,"Wood simply worked"
"S3","MEX","248","Mexico","WLD"," World",1993,"Import",5,289361.984,"Wood simply worked"
"S3","MEX","248","Mexico","WLD"," World",2007,"Export",6,83047.455,"Wood simply worked"
"S3","MEX","248","Mexico","WLD"," World",2007,"Import",5,690204.071,"Wood simply worked"
"S3","MEX","251","Mexico","WLD"," World",1993,"Export",6,23583,"Pulp and waste paper"
"S3","MEX","251","Mexico","WLD"," World",1993,"Import",5,372371.008,"Pulp and waste paper"
"S3","MEX","251","Mexico","WLD"," World",2007,"Export",6,42082.365,"Pulp and waste paper"
"S3","MEX","251","Mexico","WLD"," World",2007,"Import",5,936687.866,"Pulp and waste paper"
"S3","MEX","261","Mexico","WLD"," World",1993,"Import",5,1,"Silk"
"S3","MEX","261","Mexico","WLD"," World",2007,"Import",5,72.245,"Silk"
"S3","MEX","263","Mexico","WLD"," World",1993,"Export",6,9991,"Cotton"
"S3","MEX","263","Mexico","WLD"," World",1993,"Import",5,226860.992,"Cotton"
"S3","MEX","263","Mexico","WLD"," World",2007,"Export",6,75603.299,"Cotton"
"S3","MEX","263","Mexico","WLD"," World",2007,"Import",5,469539.015,"Cotton"
"S3","MEX","264","Mexico","WLD"," World",1993,"Export",6,29,"Jute/bast fibre raw/retd"
"S3","MEX","264","Mexico","WLD"," World",1993,"Import",5,105,"Jute/bast fibre raw/retd"
"S3","MEX","264","Mexico","WLD"," World",2007,"Export",6,1.672,"Jute/bast fibre raw/retd"
"S3","MEX","264","Mexico","WLD"," World",2007,"Import",5,60.504,"Jute/bast fibre raw/retd"
"S3","MEX","265","Mexico","WLD"," World",1993,"Export",6,854,"Veg text fibre ex cot/ju"
"S3","MEX","265","Mexico","WLD"," World",1993,"Import",5,1610,"Veg text fibre ex cot/ju"
"S3","MEX","265","Mexico","WLD"," World",2007,"Export",6,75.893,"Veg text fibre ex cot/ju"
"S3","MEX","265","Mexico","WLD"," World",2007,"Import",5,1932.133,"Veg text fibre ex cot/ju"
"S3","MEX","266","Mexico","WLD"," World",1993,"Export",6,112387,"Synthetic spinning fibre"
"S3","MEX","266","Mexico","WLD"," World",1993,"Import",5,51238,"Synthetic spinning fibre"
"S3","MEX","266","Mexico","WLD"," World",2007,"Export",6,39113.279,"Synthetic spinning fibre"
"S3","MEX","266","Mexico","WLD"," World",2007,"Import",5,256990.69,"Synthetic spinning fibre"
"S3","MEX","267","Mexico","WLD"," World",1993,"Export",6,34281,"Man-made fibres nes/wast"
"S3","MEX","267","Mexico","WLD"," World",1993,"Import",5,19463,"Man-made fibres nes/wast"
"S3","MEX","267","Mexico","WLD"," World",2007,"Export",6,71594.317,"Man-made fibres nes/wast"
"S3","MEX","267","Mexico","WLD"," World",2007,"Import",5,41060.399,"Man-made fibres nes/wast"
"S3","MEX","268","Mexico","WLD"," World",1993,"Export",6,1575,"Wool/animal hair"
"S3","MEX","268","Mexico","WLD"," World",1993,"Import",5,22116,"Wool/animal hair"
"S3","MEX","268","Mexico","WLD"," World",2007,"Export",6,2409.394,"Wool/animal hair"
"S3","MEX","268","Mexico","WLD"," World",2007,"Import",5,62140.947,"Wool/animal hair"
"S3","MEX","269","Mexico","WLD"," World",1993,"Export",6,71658,"Worn clothing etc"
"S3","MEX","269","Mexico","WLD"," World",1993,"Import",5,32322,"Worn clothing etc"
"S3","MEX","269","Mexico","WLD"," World",2007,"Export",6,35113.636,"Worn clothing etc"
"S3","MEX","269","Mexico","WLD"," World",2007,"Import",5,8524.057,"Worn clothing etc"
"S3","MEX","272","Mexico","WLD"," World",1993,"Export",6,237,"Fertilizers crude"
"S3","MEX","272","Mexico","WLD"," World",1993,"Import",5,22044,"Fertilizers crude"
"S3","MEX","272","Mexico","WLD"," World",2007,"Export",6,7443.168,"Fertilizers crude"
"S3","MEX","272","Mexico","WLD"," World",2007,"Import",5,64581.087,"Fertilizers crude"
